ID	name	type
1643	Indigofera semitrijuga Forssk.	HE
1644	Indigofera sessiliflora DC.	Th
3748	Indigofera sp.	He
5476	Kickxia aegyptiaca Nabelek	Th
3772	Kickxia sp.	Th
2402	Lasiurus scindicus Henrard	Ch
2975	Launaea arborescens (Batt.) Maire	NA
6064	Launaea resedifolia O. Kuntze	Th
0496	Leptadenia pyrotechnica (Forskal) Decne	NA
0502	Limeum viscosum (Gay) FenzlTh
6453	Lophochloa phleoides	     
2430	Lotus glinoides Del.	Th        
1645	Lotus jolyi Batt.	Th 
2977	Lycium intricatum Boiss.	Ch        
0515	Maerua crassifolia Forssk.	ME      
1734	Mesembryanthemum cryptanthum Hook.f.	Th 
0539	Moltkiopsis ciliata (Forskal) Johnst	Ch    
1690	Monsonia nivea (Dec.) Dec.	Th         
2978	Morettia canescens Boiss.	Ch      
0545	Morettia philaeana (Delile) DC.	Th      
5196	Nauplius graveolens (Forssk.) Wikl.	Th       
2979	Neurada procumbens L.	Th     
2980	Nitraria retusa (Forssk.) Asch.	NA       
2981	Nucularia perrini Batt.	Ch          
0567	Pancratium trianthum Herb.	Ge 
0573	Panicum laetum Kunth	Ch
0579	Panicum turgidum Forssk.	HE       
5002	Parietaria sp.	
0597	Pergularia tomentosa L.	Ch
1897	Polycarpaea nivea (Aiton) Webb.	HE
5448	Polycarpon robbairea Ktze.	Th
2982	Polygala erioptera DC.	Th
0632	Psoralea plicata Delile	Ch
5643	Pulicaria alveolosa Batt. & Trab.	Th
0636	Pulicaria crispa (Forskal) Bentham & Hooker	Th
2550	Salsola baryosma (Roem. & Schult.) Dandy	Ch
2984	Salsola longifolia Forssk.	Ch
4738	Salsola sp.	Ch
0666	Salvadora persica L.	ME     
4748	Satureja sp.	
0673	Schouwia thebaica  Webb.	Th
5016	Seetzenia sp.	Th
2985	Sesuvium portulacastrum (L.) L.	Ch   
2986	Sesuvium sesuvioides (Fenzl) Verdcourt	Ch     
2987	Spartina maritima (Curtis) Fernald	Hy      
2988	Sporobolus virginicus (L.) Kunth	HE
2989	Stipagrostis acutiflora (Trin. & Rupr.) DeWint.	HE   
2990	Stipagrostis ciliata (Desf.) de Winter	HE
5039	Stipagrostis plumosa L.	HE
0733	Stipagrostis pungens (Desf.) de Winter	HE
4822	Stipagrostis sp.	HE
2991	Suaeda arguinensis Maire	NA
2601	Suaeda fruticosa Forskal ex J.-F.Gmelin	NA
5043	Suaeda maritima (L.) Dumort.	Th
1788	Suaeda monodiana M.	Ch
4830	Suaeda sp.	Ch
2603	Suaeda vermiculata Forssk.	NA
4843	Tamarix sp.	MI
2993	Tamarix tenuifolia M. & Trab.	NA
1793	Traganum moquinii Webb ex Moq.	NA
2995	Traganum nudatum Del.	Ch
2572	Trianthema polysperm	
2996	Tribulus macropterus (Boiss) Maire	Th
0771	Tribulus terrestris L.	Th
0804	Ziziphus lotus (L.) Desf.	Na
5038	Zostera noltii Hornem.	Hy
2997	Zygophyllum simplex L.	HE
2998	Zygophyllum waterlotii M.	Ch
